model,acc,precision,recall,F1,epochs,seed
dynamic patience 30,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,345,95822412
dynamic patience 30,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,226,24942603
dynamic patience 30,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,161,13356886
dynamic patience 30,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,312,46913810
dynamic patience 30,0.6993006993006993,0.6947089947089947,0.6510673234811166,0.6534798534798535,221,42868828
dynamic patience 30,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,191,39958838
dynamic patience 30,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,311,28728463
dynamic patience 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,192,23756669
dynamic patience 30,0.6853146853146853,0.6824596774193548,0.6300287356321839,0.6283139837116618,161,83197857
dynamic patience 30,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,251,21668732
dynamic patience 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,192,89254563
dynamic patience 30,0.7062937062937062,0.6947194719471947,0.6695402298850575,0.6740121580547112,161,66629388
dynamic patience 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,128,14265799
dynamic patience 30,0.6783216783216783,0.6675661090124123,0.6274630541871921,0.6270975056689342,251,13999315
dynamic patience 30,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,221,22575562
dynamic patience 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,251,39345092
dynamic patience 30,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,191,41227216
dynamic patience 30,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,281,77827638
dynamic patience 30,0.6993006993006993,0.6916114227434982,0.6542487684729064,0.6574182405705054,141,90801586
dynamic patience 30,0.7062937062937062,0.6931818181818181,0.6727216748768473,0.6770967741935483,129,13561597
dynamic patience 30,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,281,85329037
dynamic patience 30,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,231,36687537
dynamic patience 30,0.7062937062937062,0.6967233009708738,0.6663587848932676,0.6707236842105263,132,97226012
dynamic patience 30,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,281,83140807
dynamic patience 30,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,193,66306997
dynamic patience 30,0.6783216783216783,0.6704673423423424,0.6242816091954023,0.6224747474747474,161,39587039
dynamic patience 30,0.6783216783216783,0.6634085213032581,0.6338259441707718,0.6355274822695035,220,70291817
dynamic patience 30,0.6853146853146853,0.6733809280979093,0.6395730706075533,0.6414842052482033,160,89089901
dynamic patience 30,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,281,47338124
dynamic patience 30,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,184,10872248
dynamic patience 50,0.6993006993006993,0.6871114299378288,0.6606116584564861,0.6645939017073037,164,95822412
dynamic patience 50,0.6643356643356644,0.6466770508826584,0.6159688013136289,0.6154190945764231,252,24942603
dynamic patience 50,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,201,13356886
dynamic patience 50,0.6853146853146853,0.6682539682539683,0.6522988505747127,0.6556061011506557,184,46913810
dynamic patience 50,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,334,42868828
dynamic patience 50,0.6853146853146853,0.6824596774193548,0.6300287356321839,0.6283139837116618,144,39958838
dynamic patience 50,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,197,28728463
dynamic patience 50,0.6923076923076923,0.6868591473286563,0.6421387520525452,0.6433106575963718,198,23756669
dynamic patience 50,0.6923076923076923,0.6813283208020051,0.6485016420361248,0.6513741134751774,155,83197857
dynamic patience 50,0.6853146853146853,0.6700143472022956,0.645935960591133,0.6489936180657829,142,21668732
dynamic patience 50,0.6783216783216783,0.6652388369678088,0.6306444991789819,0.6314432989690721,161,89254563
dynamic patience 50,0.6923076923076923,0.679368932038835,0.6516830870279147,0.6550438596491228,148,66629388
dynamic patience 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,283,14265799
dynamic patience 50,0.6853146853146853,0.6757936507936508,0.6363916256157636,0.6373626373626373,201,13999315
dynamic patience 50,0.7062937062937062,0.6992481203007519,0.6631773399014778,0.6672207446808511,144,22575562
dynamic patience 50,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,251,39345092
dynamic patience 50,0.7132867132867133,0.7098419173890872,0.6689244663382594,0.6733522758928074,154,41227216
dynamic patience 50,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,301,77827638
dynamic patience 50,0.6923076923076923,0.6838006230529594,0.645320197044335,0.6474675033617212,144,90801586
dynamic patience 50,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,200,13561597
dynamic patience 50,0.6853146853146853,0.671474358974359,0.6427545155993432,0.6453568476164233,201,85329037
dynamic patience 50,0.7062937062937062,0.7061521856449002,0.6568144499178982,0.6595238095238095,169,36687537
dynamic patience 50,0.6853146853146853,0.6787878787878787,0.6332101806239737,0.6329778132664119,352,97226012
dynamic patience 50,0.7062937062937062,0.6931818181818181,0.6727216748768473,0.6770967741935483,152,83140807
dynamic patience 50,0.6713286713286714,0.6568783068783068,0.6217159277504105,0.6212454212454213,252,66306997
