model,R2,RMSE,epochs,seed
dynamic patience 5,0.6716885566711426,2.594618082046509,704,39587039
dynamic patience 5,0.6407017707824707,2.7143008708953857,687,70291817
dynamic patience 5,0.6726559400558472,2.590792417526245,785,89089901
dynamic patience 5,0.647489607334137,2.6885392665863037,948,47338124
dynamic patience 5,0.6772361993789673,2.572603225708008,679,10872248
dynamic patience 10,0.6301088929176331,2.754021644592285,522,95822412
dynamic patience 10,0.6610304117202759,2.636396646499634,742,24942603
dynamic patience 10,0.6874792575836182,2.5314526557922363,813,13356886
dynamic patience 10,0.5990694761276245,2.867246150970459,663,46913810
dynamic patience 10,0.6486552953720093,2.6840901374816895,611,42868828
dynamic patience 10,0.6411325931549072,2.7126729488372803,763,39958838
dynamic patience 10,0.626288652420044,2.76820707321167,711,28728463
dynamic patience 10,0.6755760312080383,2.5792109966278076,682,23756669
dynamic patience 10,0.6256515979766846,2.7705655097961426,784,83197857
dynamic patience 10,0.6419124603271484,2.709723949432373,671,21668732
dynamic patience 10,0.6880338191986084,2.529205799102783,974,89254563
dynamic patience 10,0.6492331027984619,2.681882381439209,551,66629388
dynamic patience 10,0.6504859924316406,2.677088499069214,834,14265799
dynamic patience 10,0.664405107498169,2.6232404708862305,411,13999315
dynamic patience 10,0.6310179233551025,2.7506356239318848,401,22575562
dynamic patience 10,0.6650090217590332,2.6208789348602295,543,39345092
dynamic patience 10,0.7282542586326599,2.3605422973632812,881,41227216
dynamic patience 10,0.6538476943969727,2.6641829013824463,652,77827638
dynamic patience 10,0.6841113567352295,2.5450563430786133,723,90801586
dynamic patience 10,0.6236903667449951,2.77781343460083,643,13561597
dynamic patience 10,0.6592801809310913,2.6431944370269775,591,85329037
dynamic patience 10,0.6752920150756836,2.5803396701812744,1061,36687537
dynamic patience 10,0.6487659215927124,2.6836676597595215,521,97226012
dynamic patience 10,0.7031066417694092,2.4673495292663574,731,83140807
dynamic patience 10,0.6720101833343506,2.5933468341827393,573,66306997
dynamic patience 10,0.6134052276611328,2.815518379211426,403,39587039
dynamic patience 10,0.6347318887710571,2.736757278442383,832,70291817
dynamic patience 10,0.6877619028091431,2.5303080081939697,623,89089901
dynamic patience 10,0.6526786088943481,2.6686782836914062,491,47338124
dynamic patience 10,0.6722070574760437,2.5925683975219727,801,10872248
dynamic patience 20,0.6253011226654053,2.771862030029297,603,95822412
dynamic patience 20,0.620943546295166,2.787933111190796,502,24942603
dynamic patience 20,0.7056423425674438,2.4567904472351074,983,13356886
dynamic patience 20,0.610724687576294,2.825263023376465,761,46913810
dynamic patience 20,0.6629495620727539,2.628922939300537,1043,42868828
dynamic patience 20,0.662006139755249,2.6325998306274414,661,39958838
dynamic patience 20,0.647010087966919,2.6903669834136963,563,28728463
dynamic patience 20,0.6437455415725708,2.7027792930603027,822,23756669
dynamic patience 20,0.6673648953437805,2.611646890640259,750,83197857
dynamic patience 20,0.7217717170715332,2.3885319232940674,268,21668732
dynamic patience 20,0.6849502921104431,2.5416746139526367,581,89254563
dynamic patience 20,0.6950353980064392,2.5006628036499023,1001,66629388
dynamic patience 20,0.6946799755096436,2.502119541168213,764,14265799
dynamic patience 20,0.6243064403533936,2.775538682937622,641,13999315
dynamic patience 20,0.6884493827819824,2.5275206565856934,781,22575562
dynamic patience 20,0.666951596736908,2.6132688522338867,581,39345092
dynamic patience 20,0.7015308141708374,2.473888874053955,882,41227216
dynamic patience 20,0.6119528412818909,2.8208024501800537,561,77827638
dynamic patience 20,0.6240664720535278,2.7764251232147217,361,90801586
dynamic patience 20,0.662151038646698,2.632035255432129,762,13561597
dynamic patience 20,0.6387760043144226,2.721565008163452,722,85329037
dynamic patience 20,0.6500689387321472,2.678685188293457,442,36687537
dynamic patience 20,0.6984540224075317,2.486607074737549,744,97226012
dynamic patience 20,0.6697249412536621,2.602365493774414,545,83140807
dynamic patience 20,0.6845422983169556,2.5433197021484375,561,66306997
dynamic patience 20,0.651310920715332,2.6739273071289062,521,39587039
dynamic patience 20,0.6752052903175354,2.5806844234466553,381,70291817
dynamic patience 20,0.6732717752456665,2.5883543491363525,622,89089901
dynamic patience 20,0.6369302272796631,2.7285094261169434,1164,47338124
dynamic patience 20,0.6877889633178711,2.530198335647583,581,10872248
dynamic patience 30,0.6522996425628662,2.670133590698242,853,95822412
dynamic patience 30,0.6294952630996704,2.75630521774292,462,24942603
dynamic patience 30,0.6709959506988525,2.597353458404541,492,13356886
dynamic patience 30,0.639919638633728,2.7172532081604004,553,46913810
dynamic patience 30,0.6362606287002563,2.7310245037078857,731,42868828
dynamic patience 30,0.6693896055221558,2.6036863327026367,431,39958838
dynamic patience 30,0.6297850012779236,2.7552273273468018,431,28728463
dynamic patience 30,0.6995344161987305,2.4821488857269287,252,23756669
dynamic patience 30,0.6699552536010742,2.6014578342437744,671,83197857
dynamic patience 30,0.6690964698791504,2.6048402786254883,673,21668732
dynamic patience 30,0.6431719064712524,2.7049543857574463,521,89254563
dynamic patience 30,0.6892595291137695,2.5242323875427246,735,66629388
dynamic patience 30,0.6446452140808105,2.699364185333252,672,14265799
dynamic patience 30,0.661758542060852,2.633563756942749,801,13999315
dynamic patience 30,0.6270475387573242,2.765394926071167,581,22575562
dynamic patience 30,0.6664738655090332,2.615142583847046,943,39345092
dynamic patience 30,0.6973972320556641,2.4909605979919434,312,41227216
dynamic patience 30,0.6266451478004456,2.7668862342834473,551,77827638
dynamic patience 30,0.6200995445251465,2.7910354137420654,583,90801586
dynamic patience 30,0.6669151782989502,2.6134119033813477,405,13561597
dynamic patience 30,0.6969699859619141,2.4927186965942383,251,85329037
dynamic patience 30,0.6762992143630981,2.5763347148895264,701,36687537
dynamic patience 30,0.6501656770706177,2.678314685821533,524,97226012
dynamic patience 30,0.6995114088058472,2.482243537902832,551,83140807
dynamic patience 30,0.6790999174118042,2.5651652812957764,703,66306997
dynamic patience 30,0.6529365181922913,2.667686939239502,581,39587039
dynamic patience 30,0.6429411172866821,2.705828905105591,437,70291817
dynamic patience 30,0.672865629196167,2.5899627208709717,763,89089901
dynamic patience 30,0.6401721835136414,2.7163002490997314,944,47338124
